name;artist;album;release_date;duration_ms;popularity;genres
OPA;Dillom;POST MORTEM;2021-12-01;169824;56;['trap', 'argentine trap']
Warra;VAN17INO6, Chico Blanco;ER PATIO LOS NEONES;2021-07-09;185335;0;[]
TODOS LOS DÍAS;Chico Blanco, GAZZI;TODOS LOS DÍAS;2024-03-22;236552;12;[]
Ojalá (feat. Chico Blanco);C. Tangana, Chico Blanco;Bien:(;2020-05-14;180866;38;['flamenco']
Cadillac;Chico Pablo, Chico Blanco;Cadillac;2023-03-22;233201;26;[]
WTF Is In My Cup;Chico Blanco;WTF Is In My Cup;2018-06-04;267000;26;[]
Q NO;Chico Blanco;FOREVER 21 (VOL.1);2023-10-04;225333;14;[]
El Sonidito;Hechizeros Band;El Sonidito;2008-01-01;199893;43;['música mexicana', 'cumbia', 'cumbia norteña', 'duranguense']
Caramelo House (Otro Lado);Chico Blanco;Caramelo House (Otro Lado);2020-03-06;255230;0;[]
mevoyadormir;Chico Blanco;mevoyadormir;2023-04-19;297391;16;[]
AY :P;8kitoo, Chico Blanco;AY :P;2021-02-25;251831;23;[]
And Dance;Sharif Laffrey;And Dance;2018-04-13;848015;21;[]
Falkor's Return;Indecorum;Sanctus;2020-05-03;180000;48;['techno', 'hard techno', 'rave', 'gabber', 'tekno']
Sol en la Cara;Bawrut, Chico Blanco;In the Middle;2021-11-12;157440;15;['indie dance', 'acid house']
Me siento distinto;Yung Nick, John Pollõn, TylerB;PA LLORAR Y NO ECHAR GOTA;2023-06-23;180480;32;[]
i like the way you kiss me;Artemas;i like the way you kiss me;2024-03-19;142514;80;[]
Balling - LÄUFF Remix;Vibe Chemistry, LÄUFF;Balling (LÄUFF Remix);2023-08-18;260689;56;['liquid funk', 'drum and bass']
Festa noi;Me Das Mucho Amor, MDMA Music;Festa noi;2024-04-25;76800;21;['tekno']
The Spark;Kabin Crew, Lisdoonvarna Crew;The Spark;2024-06-13;146384;65;[]
Jhay Cortez - Tokyo (Broken Lip Re-Work);Broken Lip;Gazpachuelo (VOL.1);2022-01-19;146142;33;[]
EINS ZWEI;ZAPRAVKA;EINS ZWEI;2024-03-01;141818;52;['techno', 'rave', 'hard techno', 'tekno']
No Vale Na;Chico Blanco;Life After House;2019-09-30;374926;0;[]
Lullaby;Chico Blanco;Life After House;2019-09-30;252591;0;[]
Lost Like Wally;Chico Blanco;Life After House;2019-09-30;288000;0;[]
El cole no es para siempre;Chico Blanco;El cole no es para siempre;2020-01-30;228000;0;[]
Gominola;Chico Blanco;Gominola;2020-03-13;220687;0;[]
El cole no es para siempre;Chico Blanco;Gominola;2020-03-13;228000;0;[]
STOP;Chico Blanco, SIMONA;STOP;2022-08-25;266625;0;['latin indie', 'neoperreo']
CURIOSEA;Chico Blanco;FOREVER 21 (VOL.1);2023-10-04;180289;9;[]
Palante - Chico Blanco Remix;Stephen Please, Chico Blanco;Palante (Chico Blanco Remix);2020-05-12;179204;1;[]
Colacao;Boyanka Kostova;Vella Canción Galega;2018-03-26;230118;20;[]
